88,88
386,298
392,6
504,112
545,41
613,68
788,175
1141,353
1538,397
1589,51
1641,52
1689,48
1880,191
1987,107
2101,114
2501,400
2671,170
2799,128
2953,154
3078,125
3109,31
3314,205
3455,141
3624,169
3625,1
3650,25
3774,124
4191,417
4313,122
4461,148
4616,155
4633,17
4751,118
5071,320
5098,27
5237,139
5460,223
5501,41
5969,468
6063,94
6283,220
7067,784
7085,18
7121,36
7253,132
7408,155
7991,583
8697,706
9121,424
9976,855
10096,120
10124,28
10159,35
10208,49
10234,26
10260,26
10301,41
10826,525
10834,8
11253,419
11393,140
12438,1045
13043,605
13555,512
13740,185
14147,407
14445,298
14454,9
14865,411
14877,12
15429,552
16269,840
16618,349
16645,27
17477,832
18062,585
18075,13
19996,1921
20694,698
20935,241
22246,1311
23841,1595
24059,218
24878,819
26555,1677
28437,1882
28980,543
30884,1904
31157,273
31223,66
35114,3891
41276,6162
47282,6006
48916,1634
48951,35
57487,8536
58603,1116
60125,1522
69080,8955
72656,3576
76059,3403
76700,641
78143,1443
78396,253
78450,54
79138,688
81173,2035
81946,773
82555,609
85144,2589
85170,26
85181,11
86884,1703
92174,5290
